,text,label
0,"doubt that theres one near modi when comes marketing skills plus strategies adore his way convening the development processvision
his bullet points keeps all toes
perfect",2
1,pappu kejri mamata look modi has bought over microsoft you must arrange for morcha protest ,1
2,are already calling all modis thief scamster,1
3,"funny after dowing two planes endian air chief was replaced and after detection every endian sub near pakistani waters admiral replaced 
modi should look mirror and look for replacement becoming our agent like adnan sami destroying endia from within ",2
4,many brahmins have become chowkidhars ,2
5,"brahminnon brahmin may baad karna chahiyeour focuss should getting modi elected again
other wise antihindu guys will keep persecuting hindus even india
anyway even know the caste varda bhai but now donnot focus caste",2
6,dear son manak much good role media making modi hero for his honesty honest person not chormahachor,2
7,"nor congress nor rahul declared any vision for india years have been wasted congress only vision declared modi hatao
listen this video ",0
8,rajasthan governor kalyan singh aligarh 23rd march all are bjp workers and want the bjp emerge victorious want that once again modi should become the important for the country ,2
9,are rajput and will not vote for modi the cheapest india,1
10,know that and thats enough already simple question was regarding her donning hijaab and playing azan parliament and media channels modi didnt came into picture anywhere this but bash modi whenever possible because thats the trend,1
11,how can the election commission india enforcing the mcc not the modi code conduct but moral code mute spectator this nonsense the governor shame ,1
12,must read final days modi government adani project jharkhand becomes indias first power sector sez via ,2
13,"rajasthan governor kalyan singh aligarh 23rd march all are bjp workers and want the bjp emerge victorious want that once again modi should become the important for the country
",2
14,bogus story kejriwal who doesn’ not know the history the indian politics during emergency also said that indira will not hold elections but election commission did hold elections and indira lost indira can loose who modi ,0
15,logic word will defy them foreverusa was economically militarily scientifically superior most the nations 2016 but when fool said make america great again percent fools agreed that without counter questionthese modi clans are similar,2
16,thats modi magic ghochu,2
17,calm waters wheres the modi wave ,2
18,lutyens falling all over this scamster intriguing they will finally make him say that modi failure raga gift the gods wait watch ,0
19,after and now tweeting mind you only kabir bedi said would like see modi again whereas other celebrities just asked people get out and vote but look silly outrage ,0
20,think will piyush goyal for some reason modi cannot stand himself reason fix something which isnt broken ,0
21,drswamys timesnow last year debate nearly million views the modis 2017 timesnow interview has million views,2
22,everyone india but that people feel disturb whose black earnings stopped modi dont give colour hindu muslim muslim community also happy with but painful you,0
23,indian prime minister modi expected use nationalist fervor wake kashmir attack woo voters this april and may ,0
24,this shows that modi lie hatred itna hai political parties pakistan mil jaenge,1
25,schopenhauer foretold about renaissance india hindu nation and its influence under modi leadership foretold that its influence would momentous europe when became well known the revival greek and latin culture after the dark ages ,0
26,"indian has already win modi completed triple century
all chamcha contribute less than one century",2
27,who started all bjp person calls rahul ravanna what notmodi name calls every opposition sitting chair thats not shameful bucket channel,1
28,one vote can make all the difference anil kapoor answers modis election 2019 clarion call extends support his campaign ,1
29,congress needs alliance counter modi’ reliance,1
30,and for some reason you believe narendra modi assumed office meet your expectations and not that have voted him for,1
31,under modi the armed forces have dangerously and unceremoniously been brought into public life has nothing been learned from pakistan’ history military dictatorship,0
32,yes vote for modi jiiiiii,1
33,centre state govts working together make india tbfree 2025 its most heartening that multipronged approach involving different stakeholders ensuring outcomes seen ,2
34,bjp lacks boldness such concerns didnt bother when she released terrorist from jail within hours assuming office,0
35,did modi,1
36,their intentions were not right javed akhtar finding his name the poster the modi biopic mumbai mirror ⚡fintech⚡ ,0
37,chowkidar and chowkidars chela have diluted most the environment laws the country ,2
38,bhadrak bhandaripokhari and bhadrak they are loosing elections row still they are getting tickets new face they were imported from congress but unable take the advantage modi wave,0
39,you are decent lady you could have played very constructive role indo pak relationship but you toed modi’ line hate extremism now instead doing something stop lynching raping burning alive blinding with pellets you are interferingwhy,0
40,balakot why doesn’ the govt release death toll why proof bhakt antinational how dare you question the army asking proof saale chale pakistan didn’ ask for proof when imran khan said received modi’ pak day bhakt mute ,1
41,modi has finished all corruption the cabinet level former ambass via ,1
42,common hindu citizen modi after being told that modi hindoo hriday samrat will fight against corruption ,0
43,bjp now furious bcs your design reap big electoral dividend out pulwama bursted off due failure modi smartness imran nvr exptd that will retaliate the day light abi captive that’ war expected happens don’ make war for elections,2
44,only opposition parties used derogatory words againstpm modibut the otherhand modi never used such words against jis opposersshameful,1
45,lists out achievements modi govt also which are substantial has some valid points criticism couple not valid points then uses false narrative majoritarianism justify nota when bjp actually pursuing and worked too ,0
46,here are 200 reasons vote modi fragile five fastest growing economy india 11th largest 5th largest economy india share world gdp from 243 2014 308 2018 average gdp against previous regime,0
47,hope tuthukudi people would prefer honest well behaved nationalist courageous likly minister modi cabinet vote benifit thuthukudi ,2
48,see the language chowkidar who are tweeting bhi sab you are bjp problem support modi amit sha but dont use bad laughing the culture rss,0
49,india’ rankings have nosedived under modi anticipated due greatness bjp,0
50,this guy could not sustain lie beyond third sentence his tweet the succeeding govt carries the momentum the previous government how does modi govt gets credit convoluted argument second upa govt squandering,0
51,yes nincompoop just nazi bjp politicising balakot raids test have stopped terror raids our citizens maam how educated person like nirmala live with gross brazen corruption lynchings your party cadre lies from modi shah every day ,2
52,but only modi first,2
53,"icing the cake
varanasi loksabha seat against modi aap gives congress congress gives gives bsp bsp candidate joins bjp  too much fun ",2
54,open your eyes not see any critic modi cong exculding these mongers there vast indai like called bharat modis concern security praise worthy but his autocratic norm denying each and every allegation like kimjong its painful sorrowful too regards,0
55,will these channels say modi also scared contests from two seats even propoganda needs little decency,0
56,modi urges noted personalities spread voter awareness times india via ,1
57,sab chodo modi modi mar karo target each aap khud modi chod dont give imp bolne bolna hai tum unke hat pair means cms maro,1
58,yes and its always modi funny guy,2
59,used bjp money visit japan singapore usa for yrs and left bjp when modi asked how tdp spend bjp moneyexp details yrs political experience use increased pension dwacra yuvanestam schemes just before elections win votes,2
60,will modis pictures boarding passes invite trouble take decision news ,0
61,chowkidhar only for rich men did you see any chowkidhar gaurding poor house but you can find chowkidhar nirav modi house lalit modi house mallaya house,0
62,modi apples melbourne ,1
63,haha congress going gaga over this after looting from air land east west land currency they are accusing bjp looting template this the change modi brought ,2
64,people are asking him where are jobs made them chowkidar and now wil delist them from unemployment show generated job what modi have got india destroy our economy and jobs ,0
65,people india are fed the incompetency modi govt their blatant misuse power rampant corruption misgovernance and overt lies have damaged the country,0
66,yourself big moron people saying about defence corruption arms deal land deals tax evasion all true but all lies modi false keep licking sucking gandhis else die with starvation ,0
67,urge all south states india people support all respect with heart mind for modi have lagged behind nation after independence due neta propaganda for religion language local strategycastescreedsregions bias kith kind etc,0
68,look any one says that modi perfect not but course better than having pappu prime minister even congress presented any othe intelligent candidate would have understand even they presented tharoor having murder case would have understan,2
69,nice oped gurcharan das toi today where lists out many achievements modi govt and also makes valid points criticism and some unjustified points criticism see thread above,2
70,remarks the ani news agency pitroda who heads the congress overseas department and close friend the nehrugandhi family had sought more ,2
71,please dont forget remove fakendra modis corrupt fake and failure government ,0
72,one vote can make all the difference answers modis election 2019 clarion call extends support his campaign via namo app ,1
73,lets see when will modi and shahs karma catchup,1
74,yeah modi mass murderer pakistani terroristsand india will continue the same with jihadis,1
75,this time blind faith modi… absolute hate for congress milind deora elections news the indian express via ,0
76,modi move forward are with you,1
77,today dollar highest ever modi told 2013 that rupee icu but today can see that rupee ventilator action plan must there and want ,2
78,"chowkidar means narendra modi tellinh the youth chowkidar mean literally 
chowkidar campaign big trap divert the attention indian public and voters instead showing the development education making chowkidars",0
79,modi haters will definitely say dubbing acha kiya ,1
80,"surgical strike credit goes modi
nirbhaya case handling credit goes delhi police and the blame for the rape goes sheila dixit upa gets credit either for faster police action nor does get any credit for having silently worked heal the wounds
",2
81,why shud convince mat bhaai vote modi will convert mote voters same time namo than convincing opportunist what say sir,2
82,now predict number free rides modi will get the chartered planes gautam bhai for election rallies all under auspices ecofindia,2
83,better modi atleast more democratic modi enough courage face media and give answer every question ,2
84,let state govt handle law and order why drag modi resolve street fights ,0
85,reason for demonetization primarily detection black money stoppage terrorism after failure changed reason digital india even that failed too now curious see what modijaitley cooks after failure merger decision ,0
86,suli bele sir felt very bad that this time cannot vote bcz from mandya bjp candidate have modi fans mandya also dont know why candidate contesting from mandya from last yrs have voting and voted bjp elections this time not voting any body,0
87,she actually promoted modi govt good works ,2
88,yes but not selling country terrorist likewise congress president doing how many propaganda all corrupt selfish political leaders can create reality ground shows modi will yours and mine all thieves must worried,0
89,have changed profile picture add strength the movement appeal each one you join prime minister modi this endeavour ,1
90,zee will ensure youth sensitised about duty vote punit goenka replies narendra modi ,1
91,according you trump shares stage with bill gates warren buffetts mark zuckerberg then all are chor shows your sick mindsetwhat the net worth modi far not like rahul gandhi making thousands crores through illegal business practices and bail,0
92,"you tolerated whole india for years you tolerated the poor
you tolerated other religions just supported one
you even tolerated your own party members
and the most you tolerated the nation and questioned the indian army and you are talking about tolerance ",2
93,passed expected from modi government ,0
94,"100 bucks bet
kangana will have scene jayalalitha were says modi her inspiration",1
95,advani deserved president india modi has been disrespectful him god will punish modi,1
96,almost 4000 crore spent but the ganga more polluted under modis watch ,2
97,the worst experience had lifethe passport officer bkc mumbai branch mrtd sharma soo unproffesional and doesnt even listen peoplehe thinks owes the government hope mrmodi should take someaction against such people,0
98,‘concierge’ for super rich makes unusual sight nirav modis hearing via ,2
99,ahead global target centre and the state governments are working together make india tbfree 2025 asserts modi ,1
100,you ppl deserve bjp modi alway negative for nonsense things about opposition shouting master stroke for every idiotic idea bjp does ‍♂️,0
101,yogi adityanath takes dig congress saharanpur candidate imran masood ‘saharanpur also has the soninlaw azhar masood people have decide they want person who speaks the language masood azhar modi’ protégé who treading the path development ,1
102,hahahaits like happy with modis leadershipur only worry now will remain forever you want him defeatedhow dumb reason really iit just iti has done well ppl will definitely keep him forever,2
103,seems delirious can understand summer hai oopar election bhi modi will act against lynchers  saal kahan the bhaisaab ,1
104,that also means even congress comes power you cannot say congress did great job 20192024 because lot things started and proceeded modi govt please dont forget this future,2
105,every time you smile someone action love gift that person beautiful thing mother teresa,2
106,"china worried new stance modi govt
",2
107,"
modi govt notched first from election day itself becoming the first single party majority govt years the massive mandate has enabled give india many firsts development
via namo app",2
108,narender modi think the candidate who standing from regions winning from both reagions elacting should cancel the candidate who rank should declare the winer instate election save the public money rajsh tejwani,0
109,they have manifesto except modi haataaoo,1
110,chowkidar hee chor hain baap chor beta bada chor aur unke gujju dost maa tukdo kharidne jurrat bhi kartein hain sab chor hain aaj bjp kal nahi high time the junta realises what bjp upto one more time modi and will only have remains ाेशबचा ,2
111,again agenda only defeat bjp could have told them about development agenda health care there are many issues but they only have one defeat modi,2
112,anti trying use facts and logic sway the masses are way off base because the electoral base swayed and hatred minorities ,0
113,never agree with anytime but like his straight forward answer opinions personal opinion sawmy far better than modi jaitley via ,2
114,"hating modi should declared kind disease disabilityif the way has contributed recently the nation and still doingdoes not incite even bit love respect your heart for himthere something terribly wrong with you biological level
",2
115,only modi ,1
116,narendra modi urges noted personalities spread voter awareness ,1
117,lets not bay for the consensus bring out any anachry but invasive surgery where there not drop blood iebloodles coup grace ,1
118,"due automation and artificial intelligence further job will decrease for sure irrespective any govt
modi focus start will bring more job and self employment",2
119,modi govt drafts draconian afspalike law govern all tribals and forests shall turn indias forests into permanent conflict zone with administratiion holding powers shoot with immunity neither nor has commented ,1
120,message for modi and shah the hindu mobs murderers and rapists who slaughtered fetuses 2002 bajrang dal vhp rss and various sena goons and hindu terrorists general ,2
121,share the optimism ratan tata agree modi the leader need for taking india forward this critical juncture take pride being indian first resonates with most citizens jai hind,2
122,"jawans killed the border
crimes against women all time high
forget jobs even the data jobs doesnt exist
economy lowest has always been
adani getting tax cuts modi selling tshirts
state india 2019 ",0
123,well used the income for his survival and modi make marketing propaganda can you feel the difference,0
124,nobody should asked pakistan they love their country did modi modi ordered them how will you support your argument that the gurugram incident was govt supported,2
125,there about 10000 crore sugarcane dues uttar pradesh farmers will keep eye modi sugarcane dues,1
126,thanks modi porn sites are banned,2
127,you refused come pakistan hence modi sarkar repaying you for your “patriotism” ,1
128,india second most optimistic globally about executive job growth shows the survey indias senior executives said that they are optimistic about the growth the number job roles this year ,2
129, btw prakash raj contesting from blore central yes modi scared him ,1
130,unambiguous analysis rafael why are and pil champ after modi government ,1
131,yes bjp will fall short 200as individual party cong would around 100 may bjp but not modi ,1
132,modi urges shikhar dhawan bhuvneshwar kumar and ravichandran ashwin encourage voter participation lok sabha polls ,1
133,"look the lust modi for power
",1
134,modi bjp alone may nation believe army confirm bad them hence gave vague stt nation shah threat rahul snack anti democrat autocratic with majority full modi wanted sly appeal for development turn with full majority dictatorial def min stt alike sha,0
135,"libbie gang will tell you that aurangzeb was great because made his own topis sell and make money modi selling tshirt the same greatness aurangzeb does prove that modi will tyrant like aurangzeb
discuss",2
136,"
modi govts years are over just cheating people promises has impacted lot things from the economy the country brotherhood the nation ",1
137,thanks anu sharma will vote and make sure people know are motivated vote for modi ,2
138,modi for behtar life crooks ,1
139,wah super but simple convey general public about achievements thanks modi saab,2
140,this all news are propaganda modi went see even manohar parlekar body for blessings and modi forced manohar defence minister which was given sitaraman jinin 2017,0
141,and imran masood who want chop modi liberals grace ,1
142,tongue wagging owaisis’ bash modi that loafers not lawyers when dog wags ’ tail for love loyalty freedom expression has restrictions legal action taken maintain decorum without fear mercy such people party must banned,2
143,modi failed fulfill his promise ₹ lakh every individual but created epic misadventures like demonetization contrast congress president ensured farmers loan waiver all states promised during polls ,0
144,what about karnataka its not just congress but bjp also backed minelooters and corrupt ppl modi must look after and keep away from party,0
145,earlier this week akhtar also took twitter express shock see his name the credits the films trailer his name was mentioned among several other artistes the lyrics category ,0
