,text,label
0,you know manmohan singh oxford graduate and obama seek helped from him when america were depression your calling him scam you want list all the scams modi did thus far ’ sad see even young kids like you supporting modi why india have such hard time,0
1,vote for major sir vote for modi ,2
2,stand with modi ,1
3,yes want see this movie great narendra modi ,2
4,shame the word unknown modi his cronies pakistan start raising concerns over routine lynchings and torture cases that muslims are suffering india they may keep shut next time but again theyve shame,0
5,only modi govtcompleted kannur airport kerela fulfilled expectations kerala people which was pending since last yrothers govt not get time complete this since 1947for this airport fastest revenue employment coming nowthen why some people criticise modi govt ,2
6,modi urges shikhar dhawan bhuvneshwar kumar and ravichandran ashwin encourage voter participation lok sabha polls ,1
7,thanks much for endorsing the best qualities modi  ,2
8,all the best may you emerge victorious part modi cabinet next government formation ,2
9,modi politics hate modiji loves india modiji want make new india corruption free terror free india hate not nature modiji yes modiji hates only enemies our country terrorists destroying terrorists camp hatedont defame our humane kind pure honest,2
10,almost 4000 crore spent but the ganga more polluted under modis watch ,2
11,she not minor islamic standards the rape major legal shariat,2
12,love our election commission person prints vote for modi his marriage cards and gets notice from person sits front the media and lies through his teeth about absolutely impractical and economically devastating scheme but the wont nothing,0
13,only nehru had put coffeetea vending machines all railway stations poor modi might not have been pushed this tears remembering his chaiwala days,0
14,chowkidar and chowkidars chela have diluted most the environment laws the country ,2
15,gandhi was gay does modi  ,2
16,transformation indian railways under modiji governmenta step step information ,1
17,sirwe are committed splendid victory bjp under the dynamic leadership modi sir chowkidar bhuvnesh vilayatranisurat,2
18,every indian must keep the spirit chowkidar alive within him says modi ,2
19,fake slogan  with modi against congress bjp suit pakistan,0
20,his apprehension his real gut feeling stemmed from ground realities its for sure modi will india for long years come,2
21,should but wont and its indisputable fact now that anyone who challengescondemnsabuses modi bound turn beloved the pseudosecular politicians and brigade lutyen media who will any extent glorify such individuals,2
22,poor kejriwal himself predicts modi rule till eternity getting nightmares which sees modi sitting diamond studded golden throne and crying and begging front him after awakening sees himself begging front shiela dikshit,0
23,how this campaigning for modi can you explain the air chief talking about the capabilities the force how does become political ,1
24,can accused nirav modi running away from country then why cant take that credit,1
25,modi uneducated has never held single press conference you know this does not like answer questions thinks bigger than his country and his people but mently poor dont know him,0
26,please dont forget remove fakendra modis corrupt fake and failure government remember bring great congress and the best rahul gandhi ,2
27,modi urges noted personalities spread voter awareness times india via ,1
28,have you not noticed baroda has been neglected govt offices baroda still function like the 1980ties whatever happened the funds received ’ all the dark this the baroda that voted modi full support and yet here arestruggling,2
29,yogi one kids modi one kids advani one kids togadia one kids bal thackeray one kids but muslims produce too many children,2
30,"whatever modi offer now will consider jumlasno trust left people started trusting rghe wont talk jumlas lies and fake mesmerize people
unlike modi man words well educated has feelings for every citizen india",0
31,"who funds these alleged farmers for contesting varanasi against modi
",0
32,congress will simplify the gabbar singh tax implemented modi government implement actual single slab gst benefit the medium and small businesses which have been destroyed gabbar singh tax ,0
33,deeply impressed quick learner modi who has his own way doing things president pranab mukherjee ,2
34,rajasthan governor kalyan singh throws dignity governors office out window wants modi return ,2
35,all started with khan taking jibe india regarding minorities practice home before preach india ,1
36,note ban demonetisation revealed crore black money says narendra via the first time modi govt recovered such black money indian historyonly corupted people making slogan now modi hatao desh bachao but common people support him,0
37,hindus dont follow any ideology now they follow personal cults very disappointing hindutva needs followed not savarkar modi vajpayee anybody who doesnt follow the line should thrown away,0
38,only middle men find problem with narendra modi,1
39,good morning sir india perasitent modi 70litar,2
40,being born religion where female deities worshipped its misogynistic sadistic tradition and totally against point isits man made tradition and not written one not religious lunatic support own religion its repressive,2
41,this nation not modi shah’ personal property belongs each and every one months don’ forgive don’ forget ,1
42,complaint number 1189598 pending since month you guys are sleeping vodafone blackmailing please wake modi expect better response from govt vote again this progress ,2
43,milestone hit blow the bjp campaign hate and fake nationalism hope its more than just election promise like modi did many 2014 ,0
44,hope modi will initiate post 2019 election,1
45,"unprecedented agrarian crisis
record farmers suicide last years
destroying autonomy each and every institutions india
destroying independence india media news channels
some the achievement modi govt",2
46,simply stated the fact truthfully not necessarily correct politically fake democracies where cunning prestitutes become prophets lies angelic gospels ,0
47,why congress shameless representing cpi party not congress you seem like modi bhakt  krte raho bhakti prasad milega,1
48,one vote can make all the difference anil kapoor answers modis election 2019 clarion call extends support his vote kar campaign republic world ,1
49,eam have decided not criticise bullshits before 23rd may 2019 else,1
50,there used whole agentsaffron adjacent side twitter that used blame the lack more virulent hindutva campaign modis caste,2
51,this pittrodda with welldyed french beard used faithful chamcha rajeev and now has shifted his chamchgiri rahupopu gaddha crooked modibaiter ,1
52,answer you think modis failure deliver promised employment will major issue 2019 election ,0
53,"this wasnt required the first place
modi made the environment where the muslims would feel subjugated
and now bhakts are this quest ",2
54,congress likely move defer release modi biopic india today ,1
55,this another feku and jhoot the italian family bcz under modi already everybody earning above 84000 annually india dey will only provide annual income less than 72000,0
56,"keeping elections mind this may add fuel the fire
modi wise enough use this best possible manner though have reservations pending sanctions prosecute finance ministry officials were only received during his absence",2
57,what have you and your modi done these years for this for that matter for pandit community its better you leave this hate and apologize for all the bigotry have done last years one day you might welcome here like every pandit ,2
58,"thats the difference between grooming through good educational institutions
modi has such back ground his childhood time was shared low limited mental approaching people
sastee shohraat",2
59,last time the narrative was modi becomes then country wide riots will break outthey want keep the people khauff for not voting for modi,0
60,brother you know why modi selling tshirt behalf namo merchandise because the entire revenue namo merchandise being transfered namami ganga project which dream project him but people who dont know this criticise him please know before you speak ,1
61,but for only modi,1
62,seems have more confidence modi than usual bhakts ,2
63,the governor was referring rumours about anger within the bjp over their aligarh candidate satish gautam some bjp workers even protested outside singhs home saturday ,0
64,"this the last word about muslims
",1
65,how many you bjp website modi isnt the bjp president doesnt run bjp,2
66,yogi adityanath kept every promise made farmers before the 2017 state elections modi interacts with everyone through mann baat sushma swaraj humble and approachable everyone you only talk about rahul this the difference ,0
67,modi sold the nation ambanis,1
68,not just himevery non bjp candidate contesting against modi some where the other,0
69,this all news are propaganda modi went see even manohar parlekar body for blessings and modi forced manohar defence minister which was given sitaraman jinin 2017,0
70,nice love you sir your big fan voter narendra modi,2
71,"overpromise and underdelivery – that pithy summary the economic outcome the last five years under approach the general election ौीाोै
",2
72,"
these measures modi govt aimed empowering the farmersfind out more this video via namo app",2
73,shabana azmi takes makers modi biopic says javed akhtar’ name put ‘deliberately mislead public’ bollywood ,1
74,modi comes power again will convert all savarna hindus the reservation for scst will increased chaiwala pakodawala chowkidar nautankibaaz banaoge toh hindus destroy karega chalega,0
75,mistry man not then why drag modi the nri followers this the man wrong action should taken against him for spreading hatred please don’ have agenda condemning criminal activities sir fyi please,0
76,modi like demon for minorities chandrababu naidu kadapa andhra pradesh march launching bitter attack prime minister narendra modi tdp president and andhra pradesh chief minister chandrababu naidu sunday said via ,0
77,modi can again promise lakh bringing black money back,0
78,screw you axxhole modi never said that was the brain dead which attributed modi,0
79,vote for modi vote for better future ,2
80,"
how chinese intel penetrated cia front orgs christiessothebys through which nirav modi trades his ill gotten diamonds these houses regularly auction stolen temple idols from india",0
81,centre state govts working together make india tbfree 2025 ,1
82,modi want meet urgently,1
83,modi appreciate your capability and quick decision maker and our nation safe your hands but sad back one thing you have forgotten shanawaj khanplease dont ignored that person,2
84,"the airline said the boarding passes featuring modis photographs will withdrawn they are found violation the model code conduct
",1
85,india country where standup pricks think everything blamed modi even the goo their homes,1
86,least giving something modi gave jumla,0
87,looks like modi tsunami the making for 2019 could worse for than 2014 have visited states business all them rural areas places where congress would have revived per common sense but will total washout,0
88,nopenot fan modi ,1
89,"these parties are experts looting exploiting modi remembers ram manohar lohia target mahamilawat
",1
90,was the same who threatened modi 2014 election ,1
91,imran khan acting wisely hindu girls case but what about modi taking any action against mob the ans because modi converting india into unsafe place for minorities give good piece advice modi,2
92,ryt congress hmare country bohot corruption faila rakha tha but its time bring modi again power eliminate those corrupt ppl our enemies dont need think over ,0
93,she would not dont stan modi this house,1
94,wonder remembers how modi treated farmers from his state,1
95,done with deliberate intentions shabana azmi accuses biopic makers ndtv news via ,1
96,"
then job seekers now job creators due modi govts mudra and startup india schemes again",0
97,when they cant defeat modi issues they are making bengali non bengali bengal falls this trap again will keep lagging behind the rest india and will keep being waste bengal india waiting see how bengalis react this,0
98,modi has been targeting mallikarjun kharge kharge our senior leader and has excelled whatever has done one has vouch for kharge ,1
99,support kanjarwal for his belief modi for all time ,1
100,ours multi party system and one who gets highest number votes wins bjp got votes other party got even that age those who got lesser votes than bjp have right say that the modi govt did not get majority politics not always ,2
101,snubbing modi eyeing the post with shiv sena help,1
102,chowkidar modi killers ramalingam silent chowkidar modi those brave men who undergo mortal danger save our holy cows think hard who commiting suicide,2
103,"youth will vote for modi all friends are youths
all will vote for modi",1
104,"air india boarding pass features images modi vijay rupani sparks row over violation poll norms
",1
105,modi responsible for this not then why are you tweeting this shit,1
106,waiting see the usual anti modibjprss slant blaming them for the gold customs seizure fracas course corruption trinamul ‘family’congress ‘family’ are always blamed bjp revenge politics police serving trinamul threatening customs ,0
107,"kuch kaam bhi kar liya hota four years modi govt spent over 4300 crore publicity rti shows
",0
108,worried modi might contest from constituency bangalore south far seemed favor inc but with modi picture things can change,2
109,"bjp just like big jumla party
modi chor hai
chowkidar chor hai",1
110,show when said will give you lakhs proof congress ghulam defaming modi using fake scandals have passed years,0
111,better example that this namak harami you say anything modi that’ fine some extent but supporting the one who shouts for dividing india seriously raises question regarding your fundings and your conscience ,2
112,actually would have been but thanks jam and financial inclusion and dbt measures modi governmentif this called nyay scheme being implemented money will actually reach poor transparent manner but second your opinion not good for country,0
113,see modi has made them rich that modi,2
114,‘amethi rejected him’ smriti irani calls for rahul gandhi for south contest this lady has gone mad after power modi see sees nothing wrong bjpshahmodi she will loose amethi very badly this time corrupt lady misappropriated development fund,0
115,"before modis arrival 2014 all supported him for better india and all know what got last years
party will change and will change and problems the common people will remain same
every vote and every election lesson",2
116, modi urges noted personalities spread voter awareness via namo app ,1
117,ratan naval tata family patriarch the billion tata empire has lavished praise prime minister narendra modi underscoring that his leadership what the country needsat this point time and urging citizens rally round his vision create new india,0
118,tulsi gabbard rejected interviews with tyt but chats with tucker carlson tucker carlson one the world’ most prominent white nationalist propagandists she also supports drone strikes torture and supports modi assad and other genocidal monsters she’ leftist,2
119,open the link see the dirty politics modi pls watch this video till end share this for change the route 2019 election ,0
120,you had chance for years and you wasted let modi try his luck for not half least one forth the time,0
121,congress fed biryani terrorists modi government fed them bullets and bombs yogi adityanath ,1
122,there are two reasons for atmosphere hatred created modi rule rss ideology unemployment ,1
123,the share regular wagesalaried jobs for women the plfs 201718 shows registered rise since 201112 ,1
124,feeling proud such prime minister india modi,2
